"","unique.se_cutoff.geneSymbol.","rep.1..length.unique.se_cutoff.geneSymbol..."
"1","Mlf1",1
"2","Hnrnpf",1
"3","Adgre5",1
"4","Amn1",1
"5","Kansl1",1
"6","Lrrc20",1
"7","Gm49395",1
"8","Zfp106",1
"9","Gsk3b",1
"10","Ssbp2",1
"11","Eif4g2",1
"12","Ppp6r3",1
"13","4833439L19Rik",1
"14","Col11a2",1
"15","Crtc2",1
"16","Neurl4",1
"17","Fam171a1",1
"18","Clip2",1
"19","Tnnt1",1
"20","Cdc42bpa",1
"21","Slc29a1",1
"22","Ptprm",1
"23","Kdm3b",1
"24","Odf2l",1
"25","Zfp362",1
"26","Usf2",1
"27","Chd3",1
"28","Eef2k",1
"29","Zfp825",1
"30","Nars",1
"31","Armc8",1
"32","Ehmt1",1
"33","Mthfd2l",1
"34","Cables1",1
"35","Mtf2",1
"36","Cdkl3",1
"37","Zfp839",1
"38","Edc3",1
"39","Ankrd17",1
"40","Zmiz1",1
"41","Adal",1
"42","Crim1",1
"43","Srl",1
"44","Hnrnpa2b1",1
"45","Osbpl9",1
"46","Thrap3",1
"47","Otulin",1
"48","Nbr1",1
"49","Mdm2",1
"50","Tfdp2",1
"51","Camta2",1
"52","Ttn",1
"53","Mybpc1",1
"54","Emc1",1
"55","Rab5b",1
"56","Kdm5a",1
"57","Gtpbp8",1
"58","Lrch3",1
"59","Zfp384",1
"60","St6galnac6",1
"61","Zfp346",1
"62","Sirt5",1
"63","Zfp280c",1
"64","Iffo2",1
"65","Rai1",1
"66","Bcor",1
"67","Mia2",1
"68","Psmd5",1
"69","Rcor3",1
"70","Ttc14",1
"71","Phf14",1
"72","Spopl",1
"73","Smarcad1",1
"74","Ncam1",1
"75","Kif13a",1
"76","Macf1",1
"77","Meaf6",1
"78","Rian",1
"79","Rps24",1
"80","Mir99ahg",1
"81","Tmem234",1
"82","Usp47",1
"83","Tnnt3",1
"84","Ppp6r2",1
"85","Rab7b",1
"86","Cask",1
"87","Rbm33",1
"88","Hdac10",1
"89","Nkiras1",1
"90","Ldb2",1
"91","Hnrnpl",1
"92","Tom1l2",1
"93","Cnot2",1
"94","Ndrg2",1
"95","Nit1",1
"96","Ccm2",1
"97","Prr13",1
"98","Cyp20a1",1
"99","Agtpbp1",1
"100","Prpf4b",1
"101","Snhg5",1
"102","Ip6k2",1
"103","Capn15",1
"104","Casc4",1
"105","Zfp655",1
"106","Pcm1",1
"107","Neb",1
"108","Arnt",1
"109","Sh3d21",1
"110","Ankrd13c",1
"111","Zfp740",1
"112","Erc1",1
"113","Sec61a2",1
"114","Phldb2",1
"115","Senp6",1
"116","Zmiz2",1
"117","Zfyve9",1
"118","Slc27a1",1
"119","Mical2",1
"120","Golph3",1
"121","Phtf2",1
"122","Naca",1
"123","Tmem185a",1
"124","Xpo6",1
"125","Gprasp1",1
"126","Dnm1l",1
"127","Fut8",1
"128","Itgb1bp2",1
"129","Lrrc28",1
"130","Emsy",1
"131","Rreb1",1
"132","Axl",1
"133","Zfp512b",1
"134","Gpatch2l",1
"135","Mindy3",1
"136","Tulp4",1
"137","Zzz3",1
"138","Wac",1
"139","Plekha6",1
"140","Slc30a9",1
"141","Fam220a",1
"142","Gtf2i",1
"143","Fbxo40",1
"144","Tars2",1
"145","Gse1",1
"146","Sun1",1
"147","Tec",1
"148","Adhfe1",1
"149","Bclaf1",1
"150","Togaram1",1
"151","Tlk2",1
"152","Mpped2",1
"153","Asph",1
"154","Myom1",1
"155","Rorc",1
"156","Cnep1r1",1
"157","Zfp638",1
"158","Slc47a1",1
"159","Zranb2",1
"160","Ubn1",1
"161","Peli2",1
"162","Tmtc1",1
"163","Iqsec2",1
"164","Chd2",1
"165","Hnrnpc",1
"166","Hmgn3",1
"167","Atxn7l2",1
"168","Tra2a",1
"169","Trim25",1
"170","Pank2",1
"171","Rdh13",1
"172","Stx2",1
"173","Zscan29",1
"174","Necap2",1
"175","Ltbp1",1
"176","Rars2",1
"177","Cdk8",1
"178","Zfp672",1
"179","Tmem165",1
"180","Obscn",1
"181","Setd5",1
"182","Fbxl3",1
"183","Akap8",1
"184","N4bp2l2",1
